Module;Name;
k_ary_n_mesh.host[28];Throughput:sqrsum;4.31E+11
k_ary_n_mesh.host[28];Throughput:min;656550
k_ary_n_mesh.host[28];Throughput:max;656550
k_ary_n_mesh.host[29];Latengy:count;1038
k_ary_n_mesh.host[29];Latengy:mean;0.000180873
k_ary_n_mesh.host[29];Latengy:stddev;0.000213266
k_ary_n_mesh.host[29];Latengy:sum;0.187746
k_ary_n_mesh.host[29];Latengy:sqrsum;8.11E-05
k_ary_n_mesh.host[29];Latengy:min;1.33E-07
k_ary_n_mesh.host[29];Latengy:max;0.00131728
k_ary_n_mesh.host[29];Throughput:count;1
k_ary_n_mesh.host[29];Throughput:mean;664877
k_ary_n_mesh.host[29];Throughput:stddev;NaN
k_ary_n_mesh.host[29];Throughput:sum;664877
k_ary_n_mesh.host[29];Throughput:sqrsum;4.42E+11
k_ary_n_mesh.host[29];Throughput:min;664877
k_ary_n_mesh.host[29];Throughput:max;664877
k_ary_n_mesh.host[30];Latengy:count;982
k_ary_n_mesh.host[30];Latengy:mean;0.000168617
k_ary_n_mesh.host[30];Latengy:stddev;0.000217656
k_ary_n_mesh.host[30];Latengy:sum;0.165582
k_ary_n_mesh.host[30];Latengy:sqrsum;7.44E-05
k_ary_n_mesh.host[30];Latengy:min;1.22E-07
k_ary_n_mesh.host[30];Latengy:max;0.00138772
k_ary_n_mesh.host[30];Throughput:count;1
k_ary_n_mesh.host[30];Throughput:mean;629007
k_ary_n_mesh.host[30];Throughput:stddev;NaN
k_ary_n_mesh.host[30];Throughput:sum;629007
k_ary_n_mesh.host[30];Throughput:sqrsum;3.96E+11
k_ary_n_mesh.host[30];Throughput:min;629007
k_ary_n_mesh.host[30];Throughput:max;629007
k_ary_n_mesh.host[31];Latengy:count;942
k_ary_n_mesh.host[31];Latengy:mean;0.000152416
k_ary_n_mesh.host[31];Latengy:stddev;0.00021756
k_ary_n_mesh.host[31];Latengy:sum;0.143576
k_ary_n_mesh.host[31];Latengy:sqrsum;6.64E-05
k_ary_n_mesh.host[31];Latengy:min;1.13E-07
k_ary_n_mesh.host[31];Latengy:max;0.00143054
k_ary_n_mesh.host[31];Throughput:count;1
k_ary_n_mesh.host[31];Throughput:mean;603385
k_ary_n_mesh.host[31];Throughput:stddev;NaN
k_ary_n_mesh.host[31];Throughput:sum;603385
k_ary_n_mesh.host[31];Throughput:sqrsum;3.64E+11
k_ary_n_mesh.host[31];Throughput:min;603385
k_ary_n_mesh.host[31];Throughput:max;603385
k_ary_n_mesh.host[32];Latengy:count;959
k_ary_n_mesh.host[32];Latengy:mean;0.000145682
k_ary_n_mesh.host[32];Latengy:stddev;0.000151509
k_ary_n_mesh.host[32];Latengy:sum;0.139709
k_ary_n_mesh.host[32];Latengy:sqrsum;4.23E-05
k_ary_n_mesh.host[32];Latengy:min;1.13E-07
k_ary_n_mesh.host[32];Latengy:max;0.000827802
k_ary_n_mesh.host[32];Throughput:count;1
k_ary_n_mesh.host[32];Throughput:mean;614274
k_ary_n_mesh.host[32];Throughput:stddev;NaN
k_ary_n_mesh.host[32];Throughput:sum;614274
k_ary_n_mesh.host[32];Throughput:sqrsum;3.77E+11
k_ary_n_mesh.host[32];Throughput:min;614274
k_ary_n_mesh.host[32];Throughput:max;614274
k_ary_n_mesh.host[33];Latengy:count;989
k_ary_n_mesh.host[33];Latengy:mean;0.000157079
k_ary_n_mesh.host[33];Latengy:stddev;0.000171101
k_ary_n_mesh.host[33];Latengy:sum;0.155351
k_ary_n_mesh.host[33];Latengy:sqrsum;5.33E-05
k_ary_n_mesh.host[33];Latengy:min;1.22E-07
k_ary_n_mesh.host[33];Latengy:max;0.00084118
k_ary_n_mesh.host[33];Throughput:count;1
k_ary_n_mesh.host[33];Throughput:mean;633490
k_ary_n_mesh.host[33];Throughput:stddev;NaN
k_ary_n_mesh.host[33];Throughput:sum;633490
k_ary_n_mesh.host[33];Throughput:sqrsum;4.01E+11
k_ary_n_mesh.host[33];Throughput:min;633490
k_ary_n_mesh.host[33];Throughput:max;633490
k_ary_n_mesh.host[34];Latengy:count;989
k_ary_n_mesh.host[34];Latengy:mean;0.000171474
k_ary_n_mesh.host[34];Latengy:stddev;0.000177737
k_ary_n_mesh.host[34];Latengy:sum;0.169588
k_ary_n_mesh.host[34];Latengy:sqrsum;6.03E-05
k_ary_n_mesh.host[34];Latengy:min;1.33E-07
k_ary_n_mesh.host[34];Latengy:max;0.000796365
k_ary_n_mesh.host[34];Throughput:count;1
k_ary_n_mesh.host[34];Throughput:mean;633490
k_ary_n_mesh.host[34];Throughput:stddev;NaN
k_ary_n_mesh.host[34];Throughput:sum;633490
k_ary_n_mesh.host[34];Throughput:sqrsum;4.01E+11
k_ary_n_mesh.host[34];Throughput:min;633490
k_ary_n_mesh.host[34];Throughput:max;633490
k_ary_n_mesh.host[35];Latengy:count;974
k_ary_n_mesh.host[35];Latengy:mean;0.000163833
k_ary_n_mesh.host[35];Latengy:stddev;0.000166653
k_ary_n_mesh.host[35];Latengy:sum;0.159573
k_ary_n_mesh.host[35];Latengy:sqrsum;5.32E-05
k_ary_n_mesh.host[35];Latengy:min;1.48E-07
k_ary_n_mesh.host[35];Latengy:max;0.000991033
k_ary_n_mesh.host[35];Throughput:count;1
k_ary_n_mesh.host[35];Throughput:mean;623882
k_ary_n_mesh.host[35];Throughput:stddev;NaN
k_ary_n_mesh.host[35];Throughput:sum;623882
k_ary_n_mesh.host[35];Throughput:sqrsum;3.89E+11
k_ary_n_mesh.host[35];Throughput:min;623882
