Module;Name;
k_ary_n_mesh.host[13];Throughput:max;7.19E+06
k_ary_n_mesh.host[14];Latengy:count;950
k_ary_n_mesh.host[14];Latengy:mean;0.000143725
k_ary_n_mesh.host[14];Latengy:stddev;0.000176687
k_ary_n_mesh.host[14];Latengy:sum;0.136539
k_ary_n_mesh.host[14];Latengy:sqrsum;4.93E-05
k_ary_n_mesh.host[14];Latengy:min;1.23E-07
k_ary_n_mesh.host[14];Latengy:max;0.000856654
k_ary_n_mesh.host[14];Throughput:count;1
k_ary_n_mesh.host[14];Throughput:mean;6.58E+06
k_ary_n_mesh.host[14];Throughput:stddev;NaN
k_ary_n_mesh.host[14];Throughput:sum;6.58E+06
k_ary_n_mesh.host[14];Throughput:sqrsum;4.33E+13
k_ary_n_mesh.host[14];Throughput:min;6.58E+06
k_ary_n_mesh.host[14];Throughput:max;6.58E+06
k_ary_n_mesh.host[15];Latengy:count;993
k_ary_n_mesh.host[15];Latengy:mean;0.000134693
k_ary_n_mesh.host[15];Latengy:stddev;0.000196188
k_ary_n_mesh.host[15];Latengy:sum;0.13375
k_ary_n_mesh.host[15];Latengy:sqrsum;5.62E-05
k_ary_n_mesh.host[15];Latengy:min;1.13E-07
k_ary_n_mesh.host[15];Latengy:max;0.00129836
k_ary_n_mesh.host[15];Throughput:count;1
k_ary_n_mesh.host[15];Throughput:mean;6.88E+06
k_ary_n_mesh.host[15];Throughput:stddev;NaN
k_ary_n_mesh.host[15];Throughput:sum;6.88E+06
k_ary_n_mesh.host[15];Throughput:sqrsum;4.73E+13
k_ary_n_mesh.host[15];Throughput:min;6.88E+06
k_ary_n_mesh.host[15];Throughput:max;6.88E+06
k_ary_n_mesh.host[16];Latengy:count;968
k_ary_n_mesh.host[16];Latengy:mean;0.000133567
k_ary_n_mesh.host[16];Latengy:stddev;0.000183436
k_ary_n_mesh.host[16];Latengy:sum;0.129293
k_ary_n_mesh.host[16];Latengy:sqrsum;4.98E-05
k_ary_n_mesh.host[16];Latengy:min;9.83E-08
k_ary_n_mesh.host[16];Latengy:max;0.00138941
k_ary_n_mesh.host[16];Throughput:count;1
